,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
0,4.6,3.6,1.0,0.2,0
1,5.7,4.4,1.5,0.4,0
2,6.7,3.1,4.4,1.4,1
3,4.8,3.4,1.6,0.2,0
4,4.4,3.2,1.3,0.2,0
5,6.3,2.5,5.0,1.9,2
6,6.4,3.2,4.5,1.5,1
7,5.2,3.5,1.5,0.2,0
8,5.0,3.6,1.4,0.2,0
9,5.2,4.1,1.5,0.1,0
10,5.8,2.7,5.1,1.9,2
11,6.0,3.4,4.5,1.6,1
12,6.7,3.1,4.7,1.5,1
13,5.4,3.9,1.3,0.4,0
14,5.4,3.7,1.5,0.2,0
15,5.5,2.4,3.7,1.0,1
16,6.3,2.8,5.1,1.5,2
17,6.4,3.1,5.5,1.8,2
18,6.6,3.0,4.4,1.4,1
19,7.2,3.6,6.1,2.5,2
20,5.7,2.9,4.2,1.3,1
21,7.6,3.0,6.6,2.1,2
22,5.6,3.0,4.5,1.5,1
23,5.1,3.5,1.4,0.2,0
24,7.7,2.8,6.7,2.0,2
25,5.8,2.7,4.1,1.0,1
26,5.2,3.4,1.4,0.2,0
27,5.0,3.5,1.3,0.3,0
28,5.1,3.8,1.9,0.4,0
29,5.0,2.0,3.5,1.0,1
30,6.3,2.7,4.9,1.8,2
31,4.8,3.4,1.9,0.2,0
32,5.0,3.0,1.6,0.2,0
33,5.1,3.3,1.7,0.5,0
34,5.6,2.7,4.2,1.3,1
35,5.1,3.4,1.5,0.2,0
36,5.7,3.0,4.2,1.2,1
37,7.7,3.8,6.7,2.2,2
38,4.6,3.2,1.4,0.2,0
39,6.2,2.9,4.3,1.3,1
40,5.7,2.5,5.0,2.0,2
41,5.5,4.2,1.4,0.2,0
42,6.0,3.0,4.8,1.8,2
43,5.8,2.7,5.1,1.9,2
44,6.0,2.2,4.0,1.0,1
45,5.4,3.0,4.5,1.5,1
46,6.2,3.4,5.4,2.3,2
47,5.5,2.3,4.0,1.3,1
48,5.4,3.9,1.7,0.4,0
49,5.0,2.3,3.3,1.0,1
50,6.4,2.7,5.3,1.9,2
51,5.0,3.3,1.4,0.2,0
52,5.0,3.2,1.2,0.2,0
53,5.5,2.4,3.8,1.1,1
54,6.7,3.0,5.0,1.7,1
55,4.9,3.1,1.5,0.2,0
56,5.8,2.8,5.1,2.4,2
57,5.0,3.4,1.5,0.2,0
58,5.0,3.5,1.6,0.6,0
59,5.9,3.2,4.8,1.8,1
60,5.1,2.5,3.0,1.1,1
61,6.9,3.2,5.7,2.3,2
62,6.0,2.7,5.1,1.6,1
63,6.1,2.6,5.6,1.4,2
64,7.7,3.0,6.1,2.3,2
65,5.5,2.5,4.0,1.3,1
66,4.4,2.9,1.4,0.2,0
67,4.3,3.0,1.1,0.1,0
68,6.0,2.2,5.0,1.5,2
69,7.2,3.2,6.0,1.8,2
70,4.6,3.1,1.5,0.2,0
71,5.1,3.5,1.4,0.3,0
72,4.4,3.0,1.3,0.2,0
73,6.3,2.5,4.9,1.5,1
74,6.3,3.4,5.6,2.4,2
75,4.6,3.4,1.4,0.3,0
76,6.8,3.0,5.5,2.1,2
77,6.3,3.3,6.0,2.5,2
78,4.7,3.2,1.3,0.2,0
79,6.1,2.9,4.7,1.4,1
80,6.5,2.8,4.6,1.5,1
81,6.2,2.8,4.8,1.8,2
82,7.0,3.2,4.7,1.4,1
83,6.4,3.2,5.3,2.3,2
84,5.1,3.8,1.6,0.2,0
85,6.9,3.1,5.4,2.1,2
86,5.9,3.0,4.2,1.5,1
87,6.5,3.0,5.2,2.0,2
88,5.7,2.6,3.5,1.0,1
89,5.2,2.7,3.9,1.4,1
90,6.1,3.0,4.6,1.4,1
91,4.5,2.3,1.3,0.3,0
92,6.6,2.9,4.6,1.3,1
93,5.5,2.6,4.4,1.2,1
94,5.3,3.7,1.5,0.2,0
95,5.6,3.0,4.1,1.3,1
96,7.3,2.9,6.3,1.8,2
97,6.7,3.3,5.7,2.1,2
98,5.1,3.7,1.5,0.4,0
99,4.9,2.4,3.3,1.0,1
100,6.7,3.3,5.7,2.5,2
101,7.2,3.0,5.8,1.6,2
102,4.9,3.6,1.4,0.1,0
103,6.7,3.1,5.6,2.4,2
104,4.9,3.0,1.4,0.2,0
105,6.9,3.1,4.9,1.5,1
106,7.4,2.8,6.1,1.9,2
107,6.3,2.9,5.6,1.8,2
108,5.7,2.8,4.1,1.3,1
109,6.5,3.0,5.5,1.8,2
110,6.3,2.3,4.4,1.3,1
111,6.4,2.9,4.3,1.3,1
112,5.6,2.8,4.9,2.0,2
113,5.9,3.0,5.1,1.8,2
114,5.4,3.4,1.7,0.2,0
115,6.1,2.8,4.0,1.3,1
116,4.9,2.5,4.5,1.7,2
117,5.8,4.0,1.2,0.2,0
118,5.8,2.6,4.0,1.2,1
119,7.1,3.0,5.9,2.1,2
